"ID","plot","pot","srl_fw","ss_fw","ss_dw","total_length_cm","surfacearea_cm2","volume","SRL","SRL2"
"1-1",1,1,0.39,1.99,0.26,438.3912,32.7245,"10",0.223381244623116,86.0353538461538
"1-2",1,2,0.44,3.7,0.62,297.544,37.5382,"15",0.219378387027027,40.3560410557185
"1-4",1,4,0.51,2.06,0.37,771.6045,56.5657,"20",0.70680470461165,84.2345135135135
"1-5",1,5,0.35,0.63,0.17,603.0237,44.3759,"1000",0.569522383333333,63.8495682352941
"1-6",1,6,0.25,1.73,0.33,660.8578,46.0644,"25",0.315148950867052,138.579878060606
"1-7",1,7,0.62,1.66,0.39,774.6579,57.8732,"35",1.12838723024096,53.1816424317618
"1-8",1,8,0.45,2.7,0.41,673.1375,46.7518,"5",0.459977291666667,98.5079268292683
"2-1",2,1,0.5,2.8,0.44,651.1828,40.6507,"20",0.511643628571429,82.8778109090909
"2-2",2,2,0.55,3.67,0.52,582.2013,41.4491,"15",0.453704555313352,74.7090479370629
"2-3",2,3,0.49,4.68,1.08,446.7612,36.7615,"1000",0.505183818461538,39.509493877551
"2-4",2,4,0.5,5.83,0.49,575.6995,37.0199,"25",0.241932036878216,136.992983061224
"2-6",2,6,0.27,1.45,0.44,541.546,40.2743,"5",0.44369424,66.0977861952862
"2-7",2,7,0.48,3.57,0.61,461.3735,34.6527,"35",0.378403811764706,56.25353125
"2-8",2,8,0.5,5.51,0.4,512.8434,38.396,"10",0.186150054446461,141.2883567
"3-1",3,1,0.37,1.48,0.3,636.0926,45.5878,"5",0.47706945,84.8123466666667
"3-2",3,2,0.25,4.43,1.24,371.014,24.7103,"1000",0.2596260496614,53.0190974193548
"3-3",3,3,0.38,2.54,0.62,597.0006,40.6744,"25",0.553753312440945,64.3625434634974
"3-4",3,4,0.61,3.56,0.57,547.721,45.7657,"20",0.534951100280899,56.0795731952833
"3-5",3,5,0.37,2.69,0.64,494.3807,33.804,"35",0.435202043717472,56.1606453969595
"3-6",3,6,0.34,2.68,0.58,564.2423,35.6701,"10",0.415181274477612,76.6820164300203
"3-7",3,7,0.47,3,0.44,567.6167,34.8001,"15",0.391277111866667,82.3428481624758
"4-1",4,1,0.67,3.79,0.73,637.1087,48.8455,"25",0.822189617862797,49.3690855244326
"4-2",4,2,0.47,3.22,0.46,721.8757,43.8374,"10",0.48468797,107.51340212766
"4-4",4,4,0.29,1.66,0.65,571.2751,41.8402,"35",0.648706965963855,50.3085764456233
"4-5",4,5,0.36,1.6,0.4,612.7799,46.3712,"5",0.55150191,68.0866555555556
"4-6",4,6,0.25,1.2,0.38,723.0397,52.8612,"15",0.572406429166667,91.3313305263158
"4-7",4,7,0.17,1.42,0.44,541.1721,32.6468,"20",0.28506812028169,102.735879946524
"4-8",4,8,0.7,7.15,1.39,513.044,43.1798,"1000",0.698170366433566,37.7005611510791
"5-2",5,2,0.26,1.33,0.36,597.9034,38.459,"25",0.420780137142857,84.9584959401709
"5-3",5,3,0.21,0.88,0.31,718.3172,48.406,"10",0.531391474090909,97.099713671275
"5-4",5,4,0.28,2.21,0.67,506.5009,43.2502,"15",0.429952800180996,59.6677499466951
"5-5",5,5,0.3,0.94,0.22,461.0957,34.2889,"20",0.323748044680851,65.6712057575757
"5-6",5,6,0.5,4.03,0.78,338.7691,28.8702,"1000",0.327841064516129,35.0061403333333
"5-7",5,7,0.47,1.65,0.29,535.7921,49.7748,"35",0.442596746848485,64.8611126192223
"6-1",6,1,0.31,2.35,0.55,438.1995,29.9588,"35",0.317927722340426,60.3969985337243
"6-3",6,3,0.3,3.16,0.48,319.5037,27.0285,"5",0.14559662278481,70.1133119444444
"6-4",6,4,0.37,2.03,0.36,673.2308,38.9792,"20",0.441745529852217,102.601991291291
"6-5",6,5,0.44,2.4,0.33,674.461,46.6638,"10",0.408048905,111.481157024793
"6-6",6,6,0.26,1.95,0.42,484.4907,31.8184,"15",0.271314792,86.5161964285714
"6-7",6,7,0.27,1.3,0.44,474.0728,30.6938,"25",0.433229604923077,51.8766531986532
"6-8",6,8,0.25,2.78,0.92,522.4253,39.2394,"1000",0.432222370503597,63.1453188695652
"7-1",7,1,0.31,2.2,0.41,506.2031,33.0412,"15",0.292447336409091,87.6197340676633
"7-2",7,2,0.28,3.53,0.81,411.5788,24.6875,"1000",0.264436464135977,64.0596633156966
"7-3",7,3,0.34,1.82,0.53,506.2092,31.7594,"25",0.501202735384615,51.1265673695893
"7-4",7,4,0.36,3.3,0.4,334.9148,21.9965,"10",0.14614464,76.7513083333333
"7-5",7,5,0.5,5.11,0.6,622.7445,39.1662,"20",0.365603424657534,106.0741465
"7-6",7,6,0.35,2.27,0.35,438.2465,30.0704,"5",0.236498661894273,81.2097595918367
