"Variable","Description","Default Value","Units","Source"
"Leaf area~0~","initial leaf area","0.035","m^2^","this study"
"Leaf mass~0~","initial leaf mass","3.45","g","this study"
"Stem mass~0~","initial stem mass","1.51","g","this study"
"Root mass~0~","initial root mass","0.99","g","this study"
"$\epsilon$","biomass conversion efficiency","0.65","g C g mass^-1^","Mäkelä (1997)"
"R~coarse~ ~root~","coarse root respiration","0.00124","g C g root^-1^ d^-1^","Marden et al. (2008)"
"R~fine~ ~root~","fine root respiration","0.01037","g C g root^-1^ d^-1^","Ryan et al. (2010)"
"R~stem~","stem respiration","0.00187","g C g stem^-1^ d^-1^","Drake et al. (unpublished)"
"C~day~","daily leaf carbon assimilation","5.4 - 7.6","g C m^-2^ d^-1^","this study"
"$\Lambda$","leaf or root turnover","1","yr^-1^","theoretical"
