container_volume,min_size_index,max_size_index
20,24,37
25,31,45
30,36,53
35,41,61
40,46,68
45,51,75
50,56,82
55,61,89
60,66,99
65,70,103
70,75,110
75,79,117
85,89,130
90,93,137
100,102,150
110,111,163
130,128,188
140,136,200
150,144,212
160,153,224
200,185,272
230,209,307
240,216,318
250,224,330
285,251,369
300,262,386
350,289,440
400,330,494
500,407,599
600,476,700
750,577,849
1000,739,1087
1200,865,1272
1500,1048,1542
2000,1343,1975
2500,1627,2393
