pfile,lfile,species,dataset
euchae3.p,euchae.l,Eucalyptus haemastoma,Falster
euchae1.p,euchae.l,Eucalyptus haemastoma,Falster
euchae2.p,euchae.l,Eucalyptus haemastoma,Falster
euchaeR90.p,euchae.l,Eucalyptus haemastoma,Falster
euchaeR50.p,euchae.l,Eucalyptus haemastoma,Falster
euchaeR70.p,euchae.l,Eucalyptus haemastoma,Falster
euchaeR91.p,euchae.l,Eucalyptus haemastoma,Falster
euchaeR71.p,euchae.l,Eucalyptus haemastoma,Falster
10nd.p,10nd_leaf.l,Eucalyptus pilularis,Jkelly
11nd.p,11nd_leaf.l,Eucalyptus pilularis,Jkelly
12nd.p,12nd_leaf.l,Eucalyptus pilularis,Jkelly
7d.p,7d_leaf.l,Eucalyptus pilularis,Jkelly
33d.p,33d_leaf.l,Eucalyptus pilularis,Jkelly
8d.p,8d_leaf.l,Eucalyptus pilularis,Jkelly
35nd.p,35nd_leaf.l,Eucalyptus pilularis,Jkelly
36nd.p,36nd_leaf.l,Eucalyptus pilularis,Jkelly
46nd.p,46nd_leaf.l,Eucalyptus pilularis,Jkelly
9d.p,9d_leaf.l,Eucalyptus pilularis,Jkelly
44d.p,44d_leaf.l,Eucalyptus pilularis,Jkelly
45d.p,45d_leaf.l,Eucalyptus pilularis,Jkelly
21d.p,21d_leaf.l,Eucalyptus pilularis,Jkelly
47nd.p,47nd_leaf.l,Eucalyptus pilularis,Jkelly
23nd.p,23nd_leaf.l,Eucalyptus pilularis,Jkelly
20d.p,20d_leaf.l,Eucalyptus pilularis,Jkelly
19d.p,19d_leaf.l,Eucalyptus pilularis,Jkelly
22nd.p,22nd_leaf.l,Eucalyptus pilularis,Jkelly
43d.p,43d_leaf.l,Eucalyptus pilularis,Jkelly
24nd.p,24nd_leaf.l,Eucalyptus pilularis,Jkelly
31d.p,31d_leaf.l,Eucalyptus pilularis,Jkelly
32d.p,32d_leaf.l,Eucalyptus pilularis,Jkelly
34nd.p,34nd_leaf.l,Eucalyptus pilularis,Jkelly
esalroom2pot50.p,leafpot50_true.lf,Eucalyptus saligna,Liberloo
Esal-ch7-tree37.p,ch7tree37.lf,Eucalyptus saligna,Liberloo
esalroom2pot41.p,leafpot41_true.lf,Eucalyptus saligna,Liberloo
esal-ch2-tree48.p,ch2tree48.lf,Eucalyptus saligna,Liberloo
esalroom5pot392.p,leafpot392_true.lf,Eucalyptus saligna,Liberloo
esal-ch10-tree1S.p,ch10tree1S.lf,Eucalyptus saligna,Liberloo
esalroom7pot591.p,leafpot591_true.lf,Eucalyptus saligna,Liberloo
esalroom3pot131.p,leafpot131_true.lf,Eucalyptus saligna,Liberloo
esalroom3pot151.p,leafpot151_true.lf,Eucalyptus saligna,Liberloo
esal-ref.p,ch11tree45.lf,Eucalyptus saligna,Liberloo
esalroom7pot588_fix.p,leafpot588_true.lf,Eucalyptus saligna,Liberloo
Esal-ch12-tree46_fix.p,ch12tree46.lf,Eucalyptus saligna,Liberloo
esalroom5pot360.p,leafpot360_true.lf,Eucalyptus saligna,Liberloo
Esal-ch1-tree54.p,ch1tree54.lf,Eucalyptus saligna,Liberloo
esalroom4pot251.p,leafpot251_true.lf,Eucalyptus saligna,Liberloo
esalroom6pot460.p,leafpot460_true.lf,Eucalyptus saligna,Liberloo
esalroom4pot259.p,leafpot259_true.lf,Eucalyptus saligna,Liberloo
esalroom6pot449.p,leafpot449_true.lf,Eucalyptus saligna,Liberloo
Ambtr1.p,Amblf1.l,Eucalyptus tereticornis,Atwell
Eletr5.p,Elelf5.l,Eucalyptus tereticornis,Atwell
Eletr4.p,Elelf4.l,Eucalyptus tereticornis,Atwell
Ambtr2.p,Amblf2.l,Eucalyptus tereticornis,Atwell
Eletr8.p,Elelf8.l,Eucalyptus tereticornis,Atwell
Eletr1.p,Elelf1.l,Eucalyptus tereticornis,Atwell
Eletr2.p,Elelf2.l,Eucalyptus tereticornis,Atwell
Eletr3.p,Elelf3.l,Eucalyptus tereticornis,Atwell
Ambtr3.p,Amblf3.l,Eucalyptus tereticornis,Atwell
Eletr6.p,Elelf6.l,Eucalyptus tereticornis,Atwell
Eletr7.p,Elelf7.l,Eucalyptus tereticornis,Atwell
Ambtr4.p,Amblf4.l,Eucalyptus tereticornis,Atwell
